 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"110001 ALTA FLORESTA D'OESTE";24054
"110002 ARIQUEMES";89635
"110003 CABIXI";6298
"110004 CACOAL";78282
"110005 CEREJEIRAS";16934
"110006 COLORADO DO OESTE";18524
"110007 CORUMBIARA";8626
"110008 COSTA MARQUES";13466
"110009 ESPIGAO D'OESTE";28538
"110010 GUAJARA-MIRIM";40012
"110011 JARU";51739
"110012 JI-PARANA";115740
"110013 MACHADINHO D'OESTE";30996
"110014 NOVA BRASILANDIA D'OESTE";19645
"110015 OURO PRETO DO OESTE";37685
"110018 PIMENTA BUENO";33554
"110020 PORTO VELHO";419909
"110025 PRESIDENTE MEDICI";22199
"110026 RIO CRESPO";3285
"110028 ROLIM DE MOURA";50230
"110029 SANTA LUZIA D'OESTE";8836
"110030 VILHENA";75472
"110032 SAO MIGUEL DO GUAPORE";21699
"110033 NOVA MAMORE";22306
"110034 ALVORADA D'OESTE";16677
"110037 ALTO ALEGRE DOS PARECIS";12758
"110040 ALTO PARAISO";17098
"110045 BURITIS";32206
"110050 NOVO HORIZONTE DO OESTE";10199
"110060 CACAULANDIA";5719
"110070 CAMPO NOVO DE RONDONIA";12612
"110080 CANDEIAS DO JAMARI";19698
"110090 CASTANHEIRAS";3546
"110092 CHUPINGUAIA";8033
"110094 CUJUBIM";15744
"110100 GOVERNADOR JORGE TEIXEIRA";10480
"110110 ITAPUA DO OESTE";8473
"110120 MINISTRO ANDREAZZA";10342
"110130 MIRANTE DA SERRA";11874
"110140 MONTE NEGRO";14008
"110143 NOVA UNIAO";7483
"110145 PARECIS";4758
"110146 PIMENTEIRAS DO OESTE";2277
"110147 PRIMAVERA DE RONDONIA";3497
"110148 SAO FELIPE D'OESTE";5995
"110149 SAO FRANCISCO DO GUAPORE";15976
"110150 SERINGUEIRAS";11475
"110155 TEIXEIROPOLIS";4849
"110160 THEOBROMA";10316
"110170 URUPA";12911
"110175 VALE DO ANARI";9370
"110180 VALE DO PARAISO";8182
"120001 ACRELANDIA";12489
"120005 ASSIS BRASIL";6017
"120010 BRASILEIA";21275
"120013 BUJARI";8420
"120017 CAPIXABA";8762
"120020 CRUZEIRO DO SUL";77956
"120025 EPITACIOLANDIA";15005
"120030 FEIJO";32251
"120032 JORDAO";6555
"120033 MANCIO LIMA";15128
"120034 MANOEL URBANO";7941
"120035 MARECHAL THAUMATURGO";14170
"120038 PLACIDO DE CASTRO";17132
"120039 PORTO WALTER";9088
"120040 RIO BRANCO";333241
"120042 RODRIGUES ALVES";14343
"120043 SANTA ROSA DO PURUS";4676
"120045 SENADOR GUIOMARD";20054
"120050 SENA MADUREIRA";37834
"120060 TARAUACA";35397
"120070 XAPURI";16034
"120080 PORTO ACRE";14842
"130002 ALVARAES";14043
"130006 AMATURA";9367
"130008 ANAMA";10174
"130010 ANORI";16252
"130014 APUI";17898
"130020 ATALAIA DO NORTE";15071
"130030 AUTAZES";31951
"130040 BARCELOS";23103
"130050 BARREIRINHA";27211
"130060 BENJAMIN CONSTANT";32923
"130063 BERURI";15475
"130068 BOA VISTA DO RAMOS";14856
"130070 BOCA DO ACRE";30370
"130080 BORBA";34885
"130083 CAAPIRANGA";10919
"130090 CANUTAMA";12732
"130100 CARAUARI";25690
"130110 CAREIRO";32664
"130115 CAREIRO DA VARZEA";23873
"130120 COARI";75493
"130130 CODAJAS";23155
"130140 EIRUNEPE";30596
"130150 ENVIRA";16313
"130160 FONTE BOA";22747
"130165 GUAJARA";13881
"130170 HUMAITA";44021
"130180 IPIXUNA";22195
"130185 IRANDUBA";40601
"130190 ITACOATIARA";86293
"130195 ITAMARATI";8029
"130200 ITAPIRANGA";8109
"130210 JAPURA";7248
"130220 JURUA";10763
"130230 JUTAI";17929
"130240 LABREA";37497
"130250 MANACAPURU";84853
"130255 MANAQUIRI";22641
"130260 MANAUS";1793954
"130270 MANICORE";46795
"130280 MARAA";17468
"130290 MAUES";51992
"130300 NHAMUNDA";18222
"130310 NOVA OLINDA DO NORTE";30290
"130320 NOVO AIRAO";14618
"130330 NOVO ARIPUANA";21312
"130340 PARINTINS";101149
"130350 PAUINI";18066
"130353 PRESIDENTE FIGUEIREDO";26917
"130356 RIO PRETO DA EVA";25298
